experiment,group,metric,n_episodes,estimate,ci_low,ci_high,bootstrap_resamples,unit
negotiation,fake_anger,agreement,60,0.883333,0.8,0.95,10000,episode-level mean
negotiation,fake_anger,belief_estimate,60,47.705635,47.051849,48.386631,10000,episode-level mean
negotiation,fake_anger,detection_rate,60,0.700992,0.612296,0.784702,10000,episode-level mean
negotiation,fake_anger,manipulator_payoff,60,44.083333,39.232917,48.15,10000,episode-level mean
negotiation,fake_anger,offer_change,60,-3.616667,-5.183333,-2.166667,10000,episode-level mean
negotiation,fake_anger,rounds,60,8.866667,8.383333,9.316667,10000,episode-level mean
negotiation,fake_anger,target_payoff,60,43.083333,38.266667,47.066667,10000,episode-level mean
negotiation,fake_confidence,agreement,60,1.0,1.0,1.0,10000,episode-level mean
negotiation,fake_confidence,belief_estimate,60,51.918876,51.170462,52.761111,10000,episode-level mean
negotiation,fake_confidence,detection_rate,60,0.246448,0.181447,0.315278,10000,episode-level mean
negotiation,fake_confidence,manipulator_payoff,60,50.5,49.95,51.033333,10000,episode-level mean
negotiation,fake_confidence,offer_change,60,0.416667,0.1,0.75,10000,episode-level mean
negotiation,fake_confidence,rounds,60,7.116667,6.6,7.65,10000,episode-level mean
negotiation,fake_confidence,target_payoff,60,49.5,48.966667,50.05,10000,episode-level mean
negotiation,fake_disappointment,agreement,60,1.0,1.0,1.0,10000,episode-level mean
negotiation,fake_disappointment,belief_estimate,60,52.267341,51.490011,53.118278,10000,episode-level mean
negotiation,fake_disappointment,detection_rate,60,0.513922,0.413961,0.612915,10000,episode-level mean
negotiation,fake_disappointment,manipulator_payoff,60,48.083333,47.216667,48.9,10000,episode-level mean
negotiation,fake_disappointment,offer_change,60,3.616667,2.366667,4.833333,10000,episode-level mean
negotiation,fake_disappointment,rounds,60,7.933333,7.383333,8.466667,10000,episode-level mean
negotiation,fake_disappointment,target_payoff,60,51.916667,51.1,52.783333,10000,episode-level mean
negotiation,fake_urgency,agreement,60,0.983333,0.95,1.0,10000,episode-level mean
negotiation,fake_urgency,belief_estimate,60,50.455397,49.646953,51.31086,10000,episode-level mean
negotiation,fake_urgency,detection_rate,60,0.766025,0.673105,0.853302,10000,episode-level mean
negotiation,fake_urgency,manipulator_payoff,60,49.9,47.633333,51.283333,10000,episode-level mean
negotiation,fake_urgency,offer_change,60,-7.733333,-9.083333,-6.383333,10000,episode-level mean
negotiation,fake_urgency,rounds,60,7.75,7.216667,8.283333,10000,episode-level mean
negotiation,fake_urgency,target_payoff,60,48.266667,46.082917,49.616667,10000,episode-level mean
negotiation,neutral_control,agreement,60,1.0,1.0,1.0,10000,episode-level mean
negotiation,neutral_control,belief_estimate,60,52.453294,51.489152,53.507895,10000,episode-level mean
negotiation,neutral_control,detection_rate,60,0.153604,0.099715,0.214196,10000,episode-level mean
negotiation,neutral_control,manipulator_payoff,60,49.966667,49.266667,50.616667,10000,episode-level mean
negotiation,neutral_control,offer_change,60,3.62069,2.724138,4.551724,10000,episode-level mean
negotiation,neutral_control,rounds,60,6.8,6.266667,7.333333,10000,episode-level mean
negotiation,neutral_control,target_payoff,60,50.033333,49.383333,50.733333,10000,episode-level mean
trust,fake_anger,detection_rate,48,0.25,0.158333,0.35,10000,episode-level mean
trust,fake_anger,high_investment_exploitation_rate,48,0.282283,0.165964,0.407162,10000,episode-level mean
trust,fake_anger,manipulator_round_payoff,48,87.470833,79.647812,95.308333,10000,episode-level mean
trust,fake_anger,mean_investment,48,59.6375,53.2375,65.775104,10000,episode-level mean
trust,fake_anger,mean_return,48,91.441667,76.15625,106.635833,10000,episode-level mean
trust,fake_anger,mean_return_rate,48,0.453816,0.414718,0.494227,10000,episode-level mean
trust,fake_anger,target_round_payoff,48,131.804167,122.277083,141.743906,10000,episode-level mean
trust,fake_anger,trustworthiness,48,59.776042,54.484245,64.880208,10000,episode-level mean
trust,fake_disappointment,detection_rate,48,0.016667,0.0,0.0375,10000,episode-level mean
trust,fake_disappointment,high_investment_exploitation_rate,48,0.00625,0.0,0.014583,10000,episode-level mean
trust,fake_disappointment,manipulator_round_payoff,48,121.958333,116.860313,126.481354,10000,episode-level mean
trust,fake_disappointment,mean_investment,48,80.0125,77.316615,82.185417,10000,episode-level mean
trust,fake_disappointment,mean_return,48,118.079167,110.51875,125.404219,10000,episode-level mean
trust,fake_disappointment,mean_return_rate,48,0.48385,0.463808,0.504766,10000,episode-level mean
trust,fake_disappointment,target_round_payoff,48,138.066667,132.456198,143.906302,10000,episode-level mean
trust,fake_disappointment,trustworthiness,48,70.109375,66.400911,73.708333,10000,episode-level mean
trust,fake_guilt,detection_rate,48,0.158333,0.0875,0.2375,10000,episode-level mean
trust,fake_guilt,high_investment_exploitation_rate,48,0.230985,0.16713,0.295304,10000,episode-level mean
trust,fake_guilt,manipulator_round_payoff,48,113.135417,106.870573,118.933385,10000,episode-level mean
trust,fake_guilt,mean_investment,48,70.416667,66.654115,74.137604,10000,episode-level mean
trust,fake_guilt,mean_return,48,98.114583,88.460417,108.210469,10000,episode-level mean
trust,fake_guilt,mean_return_rate,48,0.465067,0.443024,0.489649,10000,episode-level mean
trust,fake_guilt,target_round_payoff,48,127.697917,121.022708,135.116823,10000,episode-level mean
trust,fake_guilt,trustworthiness,48,65.820833,61.9875,69.541875,10000,episode-level mean
trust,false_reliability,detection_rate,48,0.058333,0.016667,0.108333,10000,episode-level mean
trust,false_reliability,high_investment_exploitation_rate,48,0.298049,0.251587,0.34337,10000,episode-level mean
trust,false_reliability,manipulator_round_payoff,48,110.1625,106.39375,114.066719,10000,episode-level mean
trust,false_reliability,mean_investment,48,62.55,59.466563,65.802187,10000,episode-level mean
trust,false_reliability,mean_return,48,77.4875,68.483229,87.57724,10000,episode-level mean
trust,false_reliability,mean_return_rate,48,0.41291,0.38866,0.439404,10000,episode-level mean
trust,false_reliability,target_round_payoff,48,114.9375,108.589479,122.085573,10000,episode-level mean
trust,false_reliability,trustworthiness,48,68.50625,64.977083,71.910417,10000,episode-level mean
trust,neutral_control,detection_rate,48,0.0,0.0,0.0,10000,episode-level mean
trust,neutral_control,high_investment_exploitation_rate,48,0.040278,0.008796,0.091215,10000,episode-level mean
trust,neutral_control,manipulator_round_payoff,48,129.972917,126.016667,133.71474,10000,episode-level mean
trust,neutral_control,mean_investment,48,74.81875,71.895729,77.654167,10000,episode-level mean
trust,neutral_control,mean_return,48,94.483333,88.464427,100.643854,10000,episode-level mean
trust,neutral_control,mean_return_rate,48,0.416433,0.403546,0.429852,10000,episode-level mean
trust,neutral_control,target_round_payoff,48,119.664583,116.056198,123.391823,10000,episode-level mean
trust,neutral_control,trustworthiness,48,78.026042,75.53112,80.505208,10000,episode-level mean
trust,reality_reframing,detection_rate,48,0.004167,0.0,0.0125,10000,episode-level mean
trust,reality_reframing,high_investment_exploitation_rate,48,0.268981,0.152315,0.391667,10000,episode-level mean
trust,reality_reframing,manipulator_round_payoff,48,105.983333,98.283281,113.4625,10000,episode-level mean
trust,reality_reframing,mean_investment,48,62.485417,56.707917,68.194063,10000,episode-level mean
trust,reality_reframing,mean_return,48,81.472917,70.35375,92.998021,10000,episode-level mean
trust,reality_reframing,mean_return_rate,48,0.414724,0.392384,0.438924,10000,episode-level mean
trust,reality_reframing,target_round_payoff,48,118.9875,113.029115,125.529479,10000,episode-level mean
trust,reality_reframing,trustworthiness,48,74.869792,72.036068,77.442708,10000,episode-level mean
trust,stable_reassurance,detection_rate,48,0.004167,0.0,0.0125,10000,episode-level mean
trust,stable_reassurance,high_investment_exploitation_rate,48,0.0,0.0,0.0,10000,episode-level mean
trust,stable_reassurance,manipulator_round_payoff,48,134.7,132.458177,136.866719,10000,episode-level mean
trust,stable_reassurance,mean_investment,48,81.814583,80.693698,82.845833,10000,episode-level mean
trust,stable_reassurance,mean_return,48,110.74375,107.572865,113.772969,10000,episode-level mean
trust,stable_reassurance,mean_return_rate,48,0.448708,0.439803,0.457347,10000,episode-level mean
trust,stable_reassurance,target_round_payoff,48,128.929167,126.502083,131.279167,10000,episode-level mean
trust,stable_reassurance,trustworthiness,48,83.083333,81.229167,84.895833,10000,episode-level mean
coalition,coalition_scarcity,coalition_with_manipulator,45,0.511111,0.377778,0.666667,10000,episode-level mean
coalition,coalition_scarcity,detection_rate,45,0.233333,0.15,0.322222,10000,episode-level mean
coalition,coalition_scarcity,no_coalition,45,0.0,0.0,0.0,10000,episode-level mean
coalition,coalition_scarcity,player_1_payoff,45,60.111111,58.777778,61.666667,10000,episode-level mean
coalition,coalition_scarcity,target_target_coalition,45,0.488889,0.333333,0.622222,10000,episode-level mean
coalition,coalition_scarcity,trustworthiness,45,66.388889,63.666667,68.916667,10000,episode-level mean
coalition,competence_signaling,coalition_with_manipulator,45,0.666667,0.533333,0.8,10000,episode-level mean
coalition,competence_signaling,detection_rate,45,0.016667,0.0,0.038889,10000,episode-level mean
coalition,competence_signaling,no_coalition,45,0.0,0.0,0.0,10000,episode-level mean
coalition,competence_signaling,player_1_payoff,45,61.666667,60.333333,63.0,10000,episode-level mean
coalition,competence_signaling,target_target_coalition,45,0.333333,0.2,0.466667,10000,episode-level mean
coalition,competence_signaling,trustworthiness,45,78.027778,76.833333,79.166667,10000,episode-level mean
coalition,double_commitment,coalition_with_manipulator,45,0.8,0.688889,0.911111,10000,episode-level mean
coalition,double_commitment,detection_rate,45,0.005556,0.0,0.016667,10000,episode-level mean
coalition,double_commitment,no_coalition,45,0.022222,0.0,0.066667,10000,episode-level mean
coalition,double_commitment,player_1_payoff,45,63.0,61.888889,64.111111,10000,episode-level mean
coalition,double_commitment,target_target_coalition,45,0.177778,0.066667,0.288889,10000,episode-level mean
coalition,double_commitment,trustworthiness,45,80.138889,79.111111,81.05625,10000,episode-level mean
coalition,exclusive_reassurance,coalition_with_manipulator,45,0.488889,0.355556,0.644444,10000,episode-level mean
coalition,exclusive_reassurance,detection_rate,45,0.016667,0.0,0.044444,10000,episode-level mean
coalition,exclusive_reassurance,no_coalition,45,0.044444,0.0,0.111111,10000,episode-level mean
coalition,exclusive_reassurance,player_1_payoff,45,59.888889,58.555556,61.444444,10000,episode-level mean
coalition,exclusive_reassurance,target_target_coalition,45,0.466667,0.311111,0.6,10000,episode-level mean
coalition,exclusive_reassurance,trustworthiness,45,71.5,70.583333,72.388889,10000,episode-level mean
coalition,fake_anger,coalition_with_manipulator,45,0.444444,0.311111,0.6,10000,episode-level mean
coalition,fake_anger,detection_rate,45,0.561111,0.438889,0.683333,10000,episode-level mean
coalition,fake_anger,no_coalition,45,0.044444,0.0,0.111111,10000,episode-level mean
coalition,fake_anger,player_1_payoff,45,59.444444,58.111111,61.0,10000,episode-level mean
coalition,fake_anger,target_target_coalition,45,0.511111,0.355556,0.644444,10000,episode-level mean
coalition,fake_anger,trustworthiness,45,51.361111,47.361111,55.194444,10000,episode-level mean
coalition,fake_disappointment,coalition_with_manipulator,45,0.666667,0.533333,0.8,10000,episode-level mean
coalition,fake_disappointment,detection_rate,45,0.227778,0.15,0.305556,10000,episode-level mean
coalition,fake_disappointment,no_coalition,45,0.0,0.0,0.0,10000,episode-level mean
coalition,fake_disappointment,player_1_payoff,45,61.666667,60.333333,63.0,10000,episode-level mean
coalition,fake_disappointment,target_target_coalition,45,0.333333,0.2,0.466667,10000,episode-level mean
coalition,fake_disappointment,trustworthiness,45,59.361111,56.055556,62.611111,10000,episode-level mean
coalition,neutral_control,coalition_with_manipulator,45,0.555556,0.421667,0.711111,10000,episode-level mean
coalition,neutral_control,detection_rate,45,0.0,0.0,0.0,10000,episode-level mean
coalition,neutral_control,no_coalition,45,0.0,0.0,0.0,10000,episode-level mean
coalition,neutral_control,player_1_payoff,45,60.555556,59.216667,62.111111,10000,episode-level mean
coalition,neutral_control,target_target_coalition,45,0.444444,0.288889,0.578333,10000,episode-level mean
coalition,neutral_control,trustworthiness,45,72.583333,71.194444,73.972222,10000,episode-level mean
coalition,reputation_reframing,coalition_with_manipulator,45,0.444444,0.311111,0.6,10000,episode-level mean
coalition,reputation_reframing,detection_rate,45,0.238889,0.155556,0.333333,10000,episode-level mean
coalition,reputation_reframing,no_coalition,45,0.0,0.0,0.0,10000,episode-level mean
coalition,reputation_reframing,player_1_payoff,45,59.444444,58.111111,61.0,10000,episode-level mean
coalition,reputation_reframing,target_target_coalition,45,0.555556,0.4,0.688889,10000,episode-level mean
coalition,reputation_reframing,trustworthiness,45,57.416667,54.25,60.611111,10000,episode-level mean
